uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"5c770b04-79f8-42a3-999a-43c268f8e8cf",252,"Payload delivery","md5","381f335d17dc9fc707dd34a64fa9f389","",1,1551305476,"","","","","","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c778773-9db8-4778-966b-6b6768f8e8cf",252,"Network activity","url","qmitchelkp.com","ISFB v2 Loader C2",1,1551337331,"","","","","","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c778773-0bbc-44ff-b07c-6b6768f8e8cf",252,"Network activity","url","f61leeii.com","ISFB v2 Loader C2",1,1551337331,"","","","","","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c778773-62b4-4ce9-9d0c-6b6768f8e8cf",252,"Network activity","url","kkariannekatrina.company","ISFB v2 Loader C2",1,1551337331,"","","","","","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c7787c0-7374-401f-9fde-6b6a68f8e8cf",252,"Payload delivery","malware-sample","2019-02-29-isfbv2-loader-vk-unpacked.exe|381f335d17dc9fc707dd34a64fa9f389","",1,1551337408,"malware-sample","","5c7787c0-f3f4-4345-9853-6b6a68f8e8cf","file","file","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c7787c0-5468-42d6-8374-6b6a68f8e8cf",252,"Payload delivery","md5","381f335d17dc9fc707dd34a64fa9f389","",1,1551337408,"md5","","5c7787c0-f3f4-4345-9853-6b6a68f8e8cf","file","file","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c7787c0-5ccc-4f8f-b2ee-6b6a68f8e8cf",252,"Payload delivery","sha1","ee57aa798a3d110c7fccf402db49099a969dab59","",1,1551337408,"sha1","","5c7787c0-f3f4-4345-9853-6b6a68f8e8cf","file","file","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408
"5c7787c0-87ac-4f08-8253-6b6a68f8e8cf",252,"Payload delivery","sha256","0b20437e606bfb1933b34ff7404eb036f7046d32abb2aae8081478572bda9fbd","",1,1551337408,"sha256","","5c7787c0-f3f4-4345-9853-6b6a68f8e8cf","file","file","2019-02-27: Gozi ISFB v2.14.062","VK-Intel","VK-Intel",3,"Medium",0,"2019-02-27","Banker: Gozi ISFB v2,version: 214062,10291029JSJUYNHG,Panel: IAP,Server: 12",1551337408

